x,y,dx,dy,movement
507,293,7,-7,200
514,286,7,-7,200
521,279,7,-7,200
528,272,7,-7,200
535,265,7,-7,200
542,258,7,-7,200
549,251,7,-7,200
556,244,7,-7,200
563,237,7,-7,200
570,230,7,-7,200
577,223,7,-7,200
584,216,7,-7,200
591,209,7,-7,200
598,202,7,-7,200
605,195,7,-7,200
612,188,7,-7,200
619,181,7,-7,200
626,174,7,-7,200
633,167,7,-7,200
640,160,7,-7,200
647,153,7,-7,200
654,146,7,-7,200
661,139,7,-7,200
668,132,7,-7,200
675,125,7,-7,200
682,118,7,-7,200
689,111,7,-7,200
696,104,7,-7,200
703,97,7,-7,200
710,90,7,-7,200
717,83,7,-7,200
724,76,7,-7,200
731,69,7,-7,200
738,62,7,-7,200
745,55,7,-7,200
752,48,7,-7,200
759,41,7,-7,200
766,34,7,-7,200
773,27,7,-7,200
780,20,7,-7,200
787,13,7,-7,200
794,6,7,-7,200
801,13,7,7,207
808,20,7,7,214
815,27,7,7,221
822,34,7,7,228
829,41,7,7,235
836,48,7,7,242
843,55,7,7,249
850,62,7,7,256
857,69,7,7,263
864,76,7,7,270
871,83,7,7,277
878,90,7,7,277
885,97,7,7,277
892,104,7,7,277
899,111,7,7,277
906,118,7,7,277
913,125,7,7,277
920,132,7,7,277
927,139,7,7,277
934,146,7,7,277
941,153,7,7,277
948,160,7,7,277
955,167,7,7,277
962,174,7,7,277
969,181,7,7,277
976,188,7,7,277
983,195,7,7,277
990,202,7,7,277
983,209,-7,7,277
990,216,7,7,277
983,223,-7,7,277
990,230,7,7,277
983,237,-7,7,277
990,244,7,7,277
983,251,-7,7,277
990,258,7,7,277
983,265,-7,7,277
990,272,7,7,277
983,279,-7,7,277
990,286,7,7,277
983,293,-7,7,277
976,300,-7,7,277
969,307,-7,7,277
962,314,-7,7,277
955,321,-7,7,277
948,328,-7,7,277
941,335,-7,7,277
934,342,-7,7,277
927,349,-7,7,277
920,356,-7,7,277
913,363,-7,7,277
906,370,-7,7,277
899,377,-7,7,277
892,384,-7,7,277
885,391,-7,7,277
878,398,-7,7,277
871,405,-7,7,277
864,412,-7,7,277
857,419,-7,7,277
850,426,-7,7,277
843,433,-7,7,277
836,440,-7,7,277
829,447,-7,7,277
822,454,-7,7,277
815,461,-7,7,277
808,468,-7,7,277
801,475,-7,7,277
794,482,-7,7,277
787,489,-7,7,277
780,496,-7,7,277
773,503,-7,7,277
766,510,-7,7,277
759,517,-7,7,277
752,524,-7,7,277
745,531,-7,7,277
738,538,-7,7,277
731,545,-7,7,277
724,552,-7,7,277
717,559,-7,7,277
710,566,-7,7,277
703,573,-7,7,277
696,580,-7,7,277
689,587,-7,7,277
682,594,-7,7,277
675,587,-7,-7,277
668,580,-7,-7,277
661,573,-7,-7,277
654,566,-7,-7,277
647,559,-7,-7,277
640,552,-7,-7,284
633,545,-7,-7,291
626,538,-7,-7,298
619,531,-7,-7,305
612,524,-7,-7,312
605,517,-7,-7,319
598,510,-7,-7,326
591,503,-7,-7,333
584,496,-7,-7,340
577,489,-7,-7,347
570,482,-7,-7,354
563,475,-7,-7,361
556,468,-7,-7,361
549,461,-7,-7,361
542,454,-7,-7,361
535,447,-7,-7,361
528,440,-7,-7,361
521,433,-7,-7,361
514,426,-7,-7,361
507,419,-7,-7,361
500,412,-7,-7,361
493,405,-7,-7,361
486,398,-7,-7,361
479,391,-7,-7,361
472,384,-7,-7,361
465,377,-7,-7,361
458,370,-7,-7,354
451,363,-7,-7,347
444,356,-7,-7,340
437,349,-7,-7,333
430,342,-7,-7,326
423,335,-7,-7,319
416,328,-7,-7,312
409,321,-7,-7,305
402,314,-7,-7,298
395,307,-7,-7,291
388,300,-7,-7,284
381,293,-7,-7,277
374,286,-7,-7,270
367,279,-7,-7,263
360,272,-7,-7,256
353,265,-7,-7,249
346,258,-7,-7,242
